Ingredient,Best Matching Trader Joe's Item
Ingredient,Best Matching Trader Joe's Item
'',none
lemon rind,Organic 100% Sicilian Lemon Juice
Berries,Organic Strawberries 1 Lb
Green onion,Green Onions
limes,none
strawberries,Strawberries 1 Lb
ancho chile powder,Chile Seasoned Dried Mango
Flour,Unbleached Enriched All-Purpose Flour
cane sugar,Organic Cane Sugar
coriander,none
bell pepper,Organic Tri-Color Bell Peppers
Bean Thread Noodles,none
half and half,none
ground beef,Ground Beef 80% lean /20% fat
Cooked white rice,Calrose Rice
Pizza Dough,Gluten Free Pizza Dough
eggplant,Grecian Style Eggplant with Tomatoes & Onions
duck liver,none
bean sprouts,Mung Bean Sprouts
wasabi paste,none
oil-packed anchovy fillets,none
chilli powder,Chili Powder
Peanut Butter,Organic Peanut Butter
jack cheese,none
Pancetta,none
scallops,Sea Scallops
saffron,none
egg,Organic Pasture Raised Large Brown Eggs
Bananas,Organic Bananas
low sodium chicken stock,Organic Free Range Chicken Broth
focaccia bread,Focaccia Bread with Roasted Tomato & Parmesan
garlic powder,Garlic Powder
wonton wrappers,none
hoisin sauce,Hoisin Sauce
pork ribs,none
turkey gravy,none
mint leaves,none
cardamom,none
whole wheat flour tortillas,Carb Savvy Tortillas made with Whole Wheat
chili powder,Chile Powder
basmati rice,Organic Basmati Rice
low-sodium vegetable broth,Organic Hearty Vegetable Broth
Yoghurt,Greek Whole Milk Yogurt Plain
penne rigate,Italian Penne Rigate
tofu,Organic Firm Tofu
Cheese,Cheese & Green Chile Tamales
pecans,Candied Pecans
cherry tomatoes,Campari Tomatoes
swiss cheese,none
Butter,Cultured Salted Butter
chicken breast tenders,All Natural Pasture Raised Heirloom Chicken Breasts
White Vinegar,Organic Raw Apple Cider Vinegar
white bread,White Sliced Bread
courgette,none
reduced-sodium soy sauce,Soy Sauce Reduced Sodium
Mushrooms,Shiitake Mushrooms
bell peppers,Organic Tri-Color Bell Peppers
banana peppers,none
medjool date,none
2% milk,none
sugar,Organic Cane Sugar
Ground Pepper,Black Peppercorns with Grinder
Romaine lettuce,Romaine Hearts
raspberries,Freeze Dried Raspberries
Pecans,Candied Pecans
honey ham,none
Cilantro,none
tomato paste,Organic Tomato Paste
celery leaves,none
hummus,Mediterranean Style Hummus
breadcrumbs,none
pizza dough,Gluten Free Pizza Dough
Pizza Sauce,Pizza Sauce
peppers,Organic Tri-Color Bell Peppers
White Sugar,Organic Cane Sugar
fontina cheese,none
red cabbage,Purple Cabbage
Chili,Chile Seasoning Blend
Fuji apple,none
snow peas,Sugar Snap Peas
extra virgin olive oil,Sicilian Selezione Extra Virgin Olive Oil
red bell pepper,Organic Red Bell Peppers
beef chuck,Choice Premium Angus Beef Flank Steak
celery,none
lemon pepper,none
crushed red chile flakes,Chile Flakes
purple cabbage,none
almonds,Raw Almonds
beer,none
Kalamata olives,Jumbo Pitted Greek Kalamata Olives
Jasmine Rice,Jasmine Rice From Thailand
All-purpose Flour,Unbleached Enriched All-Purpose Flour
Honey,Multi-Floral & Clover Honey
vanilla,Vanilla Bean Whole Milk Greek Yogurt
sea scallops,Sea Scallops
zucchini,none
english muffins,Whole Wheat English Muffins
Oysters Sauce,none
cranberry sauce,Organic Cranberries
tamarind,none
white pepper,none
Red Wine Vinegar,Organic Red Wine Vinegar
roast turkey,Organic Free Range Oven Roasted Turkey Breast
Tandoori Paste,none
flank steak,Choice Premium Angus Beef Flank Steak
whole wheat pastry flour,none
tortilla,Tortilla Española
chicken or beef stock,Organic Free Range Chicken Broth
chanterelle,none
plain Greek yogurt,Plain Greek Yogurt
corn flour,none
Yukon Gold potatoes,none
Granny Smith apples,none
diced tomatoes,Organic Diced & Fire Roasted Tomatoes with Green Chiles
bechamel,none
sesame oil,Sesame Oil
oyster,none
kosher salt,none
turmeric,none
Ginger,none
lettuce,Little Gem Lettuce
dried oregano,none
whole tomatoes,Organic Whole Peeled Tomatoes with Basil Leaf
Quick Bread Mix,Celebration Cake & Baking Mix
skirt steak,Choice Premium Angus Beef Flank Steak
Strawberries,Strawberries 1 Lb
kidney beans,Organic Black Beans
Pepper,Black Peppercorns with Grinder
Tamarind,none
Lemon Grass,none
light cream,none
white wine,none
serrano chilies,none
ginger,none
thyme,none
whole Tomatoes,Organic Whole Peeled Tomatoes with Basil Leaf
Lime,none
mushrooms,Shiitake Mushrooms
corn tortilla,Organic Stone Ground Yellow Corn Taco Shells
Worcestershire sauce,none
avocados,Avocados
russet potatoes,Russet Potatoes
firm tofu,Organic Firm Tofu
coconut milk,Organic Coconut Milk
freshly squeezed orange juice,none
Black Pepper,Black Peppercorns with Grinder
jalapeno,none
chervil,none
ice,none
anchovy fillets,none
condensed cream of mushroom soup,none
fresh dill,none
squash,Delicata Squash
dough,none
sparkling water,none
Mung Bean Sprouts,Mung Bean Sprouts
chicken cutlets,none
salad dressing,Green Goddess Salad Dressing
vegetables,none
angel hair pasta,none
Italian seasoning,Italian Seasoning
sesame,none
gouda,1000 Day Gouda Cheese
shallot,none
whole wheat English muffins,Whole Wheat English Muffins
pepper,Black Peppercorns with Grinder
bagels,Everything Bagels
grated nutmeg,none
almond extract,none
Cumin,none
chicken breasts,All Natural Pasture Raised Heirloom Chicken Breasts
savoy cabbage,none
Extra-virgin olive oil,Sicilian Selezione Extra Virgin Olive Oil
wine,none
gluten free flour,Gluten Free All-Purpose Baking Flour
white mushrooms,Shiitake Mushrooms
Ricotta cheese,Traditional Whole Milk Ricotta Cheese
mozzarella cheese,Fresh Mozzarella Cheese Log
Garlic Powder,Garlic Powder
marjoram,none
Sesame Oil,Sesame Oil
Coconut Milk,Organic Coconut Milk
Hoisin Sauce,Hoisin Sauce
potato starch,none
red chili flakes,Chile Flakes
summer squash,Delicata Squash
chili beans,none
red pepper flake,Chile Flakes
bread flour,All Purpose Baking Flour
Cocoa,none
Romaine Lettuce,Romaine Hearts
red-pepper flakes,Chile Flakes
shallots,none
Vegetable oil,none
bacon,Fully Cooked Uncured Bacon
grape tomatoes,Campari Tomatoes
Cilantro leaves,none
chocolate almond milk,none
mayo,none
salmon,Fresh Atlantic Salmon Boneless Fillet
1. dried parsley,Aglio Olio Seasoning Blend
2. turkey,All Natural Brined Young Turkey (18-22 lbs)
3. scallions,Green Onions
4. red pepper,Chile & Garlic Cashews
5. beans,Black Beans
6. Water,none
7. canola oil,Organic Canola Oil Spray
8. Ground Cinnamon,Ground Cinnamon
9. red pepper flakes,Chile Seasoned Dried Mango
10. worcestershire sauce,none
11. salad mix,Organic Baby Lettuce Mix
12. Pork Tenderloin,"Angus Chuck, Brisket & Sirloin Beef Patties"
13. wasabi,none
14. chives,Organic Green Onions
15. rice vinegar,Rice Vinegar
16. coconut oil,Coconut Crunchy Clusters
17. chili sauce,Chili & Lime Flavored Rolled Corn Tortilla Chips
18. oats,Rolled Oats
19. meat,Choice Premium Angus Beef Flank Steak
20. Fettuccine,Italian Linguine
21. dried chickpeas,none
22. whole-milk yogurt,Greek Whole Milk Yogurt Plain
23. milk,none
24. fat-free yogurt,Greek Nonfat Yogurt Plain
25. vegetable broth,Organic Hearty Vegetable Broth
26. chile powder,Chile Seasoning Blend
27. beets,Organic Beets
28. cornstarch,none
29. ground ginger,none
30. clam juice,none
31. cheddar,Cheddar Cheese with Caramelized Onions
32. corn tortillas,Corn Tortillas
33. chile paste,none
34. seasoning,Aglio Olio Seasoning Blend
35. leek,none
36. all purpose flour,Organic Unbleached All-Purpose Flour
37. light brown sugar,none
38. crushed tomatoes,Organic Diced & Fire Roasted Tomatoes with Green Chiles
39. tomato sauce,Organic Marinara Sauce
40. vodka,none
41. cheese,Unexpected Cheddar Cheese
42. lamb loin chops,none
43. stuffing,none
44. Olive Oil,"Extra Virgin Olive Oil, Liter"
45. unsweetened applesauce,none
46. avocado,Avocado Tzatziki Dip
47. savory,none
48. granola bar,ABC Bars
49. Applesauce,Organic Apple Banana Fruit Sauce Crushers
50. nori,none
51. low-sodium chicken stock,Organic Free Range Chicken Broth
52. peanuts,50% Less Salt Roasted & Salted Peanuts
53. butter lettuce,none
54. waffles,Whole Grain Waffles
55. Cherry Tomatoes,Campari Tomatoes
56. cumin seeds,none
57. parmesan,Grated Parmesan Cheese
58. pork sausage,none
59. green onion,Green Onions
60. rolled oats,Rolled Oats
61. oil,Organic Extra Virgin Olive Oil
62. smoked pork sausage,none
63. Portabello mushrooms,Portabella Mushrooms
64. nonfat plain Greek yogurt,Nonfat Plain Greek Yogurt
65. Lamb,none
66. Seedless Grapes,Sweet Baby Thompson Seedless Grapes
67. plain yoghurt,Plain Whole Milk Greek Yogurt
68. curry powder,none
69. Cucumbers,Organic English Cucumber
70. pomegranate,none
71. chili,none
72. almond butter,Organic Almond Butter
73. Garlic,Garlic & Onion Pistachios
74. marinara sauce,Organic Marinara Sauce
75. salsa verde,none
76. white onion,none
77. ricotta,Part Skim Ricotta Cheese
78. sea salt,Sea Salt Fine Crystals
79. chicken stock,Organic Free Range Chicken Stock
80. lime juice,none
81. dill,none
82. Tomato,Campari Tomatoes
83. low sodium chicken broth,Organic Free Range Chicken Broth
84. quinoa,Organic Tricolor Quinoa
85. granulated sugar,Organic Cane Sugar
86. basil pesto,basil
87. broth,Organic Free Range Chicken Broth
88. Mixed grains,none
89. pine nuts,none
90. provolone cheese,Sliced Provolone Cheese
91. All-purpose flour,Organic Unbleached All-Purpose Flour
92. Tomato Sauce,Organic Marinara Sauce
93. Canadian bacon,none
94. shortening,none
95. Milk,none
96. jalapeños,Jalapeño & Cream Cheese Crispy Wontons
97. scallion,Green Onions
98. jalapeño pepper,Jalapeño & Cream Cheese Crispy Wontons
99. agave nectar,none
100. dried apricots,Simply Amazing Soft Dried Apricots
101. Olive oil,Organic Extra Virgin Olive Oil
102. vanilla extract,Double Fold Bourbon Vanilla Extract
103. fresh rosemary,none
104. prepared horseradish,none
105. granulated onion,none
106. egg yolk,none
107. pork tenderloin,"Angus Chuck, Brisket & Sirloin Beef Patties"
108. Egg Noodles,none
109. gelatin,none
110. Seasoning,Aglio Olio Seasoning Blend
111. lentils,none
112. corn,Organic Sweet & Spicy Pineapple BBQ Sauce
113. fish,Wild Caught Cod Fillets
114. Feta cheese,Feta Cheese
115. dried thyme,none
116. cod,Wild Caught Cod Fillets
117. beef brisket,Choice Premium Angus Beef Flank Steak
118. vegetable oil,none
119. Cardamom Pods,none
120. low fat milk,none
121. Sriracha,Sriracha Sauce
122. Basil,none
123. banana,Bananas
124. mirin,none
125. cooked rice,none
126. agave syrup,none
127. vegetable stock,Organic Hearty Vegetable Broth
128. sake,none
129. Black pepper,Black Peppercorns with Grinder
130. Semi-Sweet Chocolate,Semi-Sweet Chocolate Chips
131. Dijon mustard,Dijon Mustard
132. poached eggs,none
133. Napa cabbage,none
134. olive oil,Organic Extra Virgin Olive Oil
135. canned black beans,Organic Black Beans
136. Broccoli,Organic Brussels Sprouts
137. celery ribs,none
138. Lime Leaves,none
139. cream,none
140. Chicken Bouillon,none
141. masala,none
142. toasted almonds,Dry Roasted & Salted Almonds
143. garlic,Garlic & Onion Pistachios
144. bagel,Almost Everything Bagels
"145. boneless, skinless chicken breasts",Organic Free Range Boneless Skinless Chicken Breasts
146. green bell pepper,none
147. Shallots,none
148. Limes,none
149. fennel,none
150. beef tenderloin,Choice Premium Angus Beef Flank Steak
151. cilantro leaves,cilantro
152. Ketchup,Organic Ketchup
153. guacamole,Organic Chunky Homestyle Guacamole
154. Sole,none
155. whole wheat flour,Organic Whole Wheat Flour
156. jalapenos,Jalapeño & Cream Cheese Crispy Wontons
157. deli roast beef,Sliced Roast Beef
158. cucumber,Organic English Cucumber
159. can black beans,Organic Black Beans
160. button mushrooms,Shiitake Mushrooms
161. Gruyere cheese,New Zealand Sharp Cheddar Cheese
162. sherry,none
"163. skinless, boneless chicken breast halves",Organic Free Range Boneless Skinless Chicken Breasts
164. Nutmeg,none
165. Tortilla,Sonora Style Flour Tortillas
166. mixed greens,Organic Baby Lettuce Mix
167. berries,Blueberries & Cream Yogurt
168. pasta,Organic Fusilli Corti Bucati Pasta
169. Vinegar,Organic Balsamic Vinegar
170. noodles,none
171. cooked turkey,none
172. Velveeta,none
173. basil,none
174. penne,Italian Penne Rigate
175. red wine vinegar,Agrodolce White Wine Vinegar
176. rice noodles,none
177. maple syrup,Pure Grade A Maple Syrup
178. Avocado,Avocado Tzatziki Dip
179. Garbanzo beans,Organic Garbanzo Beans
180. pumpkin puree,none
181. refried beans,Traditional Fat-Free Refried Beans
182. ground turkey,All Natural Ground Chicken
183. cilantro,cilantro
184. five-spice powder,none
185. salad leaves,Organic Baby Lettuce Mix
186. Berry,Organic Strawberries
187. unsalted chicken stock,Organic Free Range Chicken Stock
188. Cream,none
189. fine-grain sea salt,Sea Salt Fine Crystals
190. English muffins,Organic English Muffins
191. apple cider,none
192. cheeses,Unexpected Cheddar Cheese
193. crab meat,none
194. broccoli,Organic Brussels Sprouts
195. wild rice,none
196. cooked chicken breasts,Organic Free Range Boneless Skinless Chicken Breasts
197. Genoa salami,Finocchiona Uncured Salami
198. canned tomatoes,Organic Diced & Fire Roasted Tomatoes with Green Chiles
199. cinnamon,Ground Cinnamon
200. oyster sauce,none
1. roasted turkey breast,All Natural Brined Young Turkey (18-22 lbs)
2. sausage,All Natural Fully Cooked Maple Chicken Breakfast Sausage
3. toasted sesame oil,Chili Sesame Oil
4. Granny Smith apple,Honeycrisp Apples
5. self-rising flour,none
6. yogurt,Greek Whole Milk Yogurt Plain
7. mango,Mango & Cream Bars
8. buns,Brioche Buns
9. Chicken Broth,Organic Free Range Chicken Broth
10. pie crust,none
11. fresh basil,none
